year,month,age,usertype,Trips,Avgtripdur
2018,Mar,86,Subscriber,58,6.685344828
2018,Mar,87,Subscriber,8,9.910416667
2018,Mar,89,Subscriber,12,7.923611111
2018,Mar,95,Subscriber,150,9.444888889
2018,Mar,97,Subscriber,24,3.909722222
2018,Mar,99,Subscriber,11,27.58939394
2018,Mar,100,Subscriber,7,7.714285714
2018,Mar,101,Subscriber,2,18.23333333
2018,Mar,102,Subscriber,7,16.41666667
2018,Mar,106,Subscriber,28,18.3452381
2018,Mar,108,Subscriber,40,3.644166667
2018,Mar,111,Subscriber,7,11.5952381
2018,Mar,117,Subscriber,18,19.2787037
2018,Mar,118,Subscriber,531,7.261079724
2018,Mar,119,Subscriber,11,19.07575758
2018,Mar,124,Subscriber,34,10.84313725
2018,Mar,128,Subscriber,2,12.80833333
2018,Mar,130,Subscriber,16,5.3375
2018,Mar,131,Subscriber,61,12.03142077
2018,Mar,132,Subscriber,7,28.01428571
2018,Mar,133,Subscriber,18,12.83240741
2018,Apr,16,Customer,41,1393.281301
2018,Apr,16,Subscriber,161,10.54865424
2018,Apr,17,Customer,235,27.86780142
2018,Apr,17,Subscriber,986,14.13967208
2018,Apr,18,Customer,465,32.50824373
2018,Apr,18,Subscriber,2266,10.79356428
2018,Apr,19,Customer,734,30.39393733
2018,Apr,19,Subscriber,4009,11.37298994
2018,Apr,20,Customer,954,30.17823201
2018,Apr,20,Subscriber,6398,10.60086746
2018,Apr,21,Customer,1230,26.22909214
2018,Apr,21,Subscriber,7798,10.15048944
2018,Apr,22,Customer,1082,30.00249538
2018,Apr,22,Subscriber,10230,11.25871945
2018,Apr,23,Customer,2251,35.38854583
2018,Apr,23,Subscriber,17035,13.45761863
2018,Apr,24,Customer,2337,31.17091713
2018,Apr,24,Subscriber,25286,13.4818681
2018,Apr,25,Customer,2815,30.29543517
2018,Apr,25,Subscriber,36298,12.52690782
2018,Apr,26,Customer,2868,53.70629358
2018,Apr,26,Subscriber,41090,12.24804089
2018,Apr,27,Customer,2583,30.18615305
2018,Apr,27,Subscriber,45516,12.86692409
2018,Apr,28,Customer,2643,45.09667045
2018,Apr,28,Subscriber,47545,12.61877239
2018,Apr,29,Customer,2657,72.1777255
2018,Apr,29,Subscriber,47086,12.50609346
2018,Apr,30,Customer,3142,206.3101952
2018,Apr,30,Subscriber,46922,12.54454556
2018,Apr,31,Customer,2503,54.66187908
2018,Apr,31,Subscriber,44592,12.39750142
2018,Apr,32,Customer,1873,31.23828083
2018,Apr,32,Subscriber,43661,12.1356218
2018,Apr,33,Customer,1650,28.45160606
2018,Apr,33,Subscriber,45067,12.17372098
2018,Apr,34,Customer,1340,99.35866915
2018,Apr,34,Subscriber,39232,17.83922138
2018,Apr,35,Customer,1613,29.81280223
2018,Apr,35,Subscriber,36692,12.09844834
2018,Apr,36,Customer,1147,30.19590235
2018,Apr,36,Subscriber,34540,12.08141768
2018,Apr,37,Customer,970,31.42496564
2018,Apr,37,Subscriber,33050,12.07877509
2018,Apr,38,Customer,1026,31.08268356
2018,Apr,38,Subscriber,29523,12.96858212
2018,Apr,39,Customer,861,27.9455091
2018,Apr,39,Subscriber,27949,12.01428077
2018,Apr,40,Customer,738,29.80953026
2018,Apr,40,Subscriber,27152,17.68322223
2018,Apr,41,Customer,878,31.06556568
2018,Apr,41,Subscriber,24540,12.1347263
2018,Apr,42,Customer,508,34.33113517
2018,Apr,42,Subscriber,24069,12.54029457
2018,Apr,43,Customer,713,26.96891071
2018,Apr,43,Subscriber,23045,11.94224344
2018,Apr,44,Customer,590,29.06508475
2018,Apr,44,Subscriber,21629,12.05258912
2018,Apr,45,Customer,629,37.92538421
2018,Apr,45,Subscriber,21244,12.67831858
2018,Apr,46,Customer,514,29.59747082
2018,Apr,46,Subscriber,20743,13.18287053
